Nombre_Empresa_clean,Fecha,pasajeros
ASES LTDA.,2014-03-01,15
AVIANCA,2014-08-01,1336830
AEROSUCRE,2014-02-01,0
VIANA S.A.S,2015-10-01,72
INTERJET,2015-06-01,13543
COPA,2015-04-01,10550
JETBLUE AIRWAYS,2015-10-01,32696
AIR PANAMA,2015-07-01,3560
VENSECAR C.A.,2020-11-01,0
UNITED PARCEL SERVICE,2022-04-01,0
AERO LLANOS DEL ORIENTE,2021-12-01,16
ALIANSA,2022-01-01,841
LADECO,2022-01-01,0
AIR CANADA,2020-08-01,0
ETIHAD,2020-06-01,654
FEDERAL EXPRESS CORPORATION,2020-02-01,0
NORTHERN AIR CARGO,2020-07-01,0
VIVA AIR,2020-03-01,712470
AIR CANADA,2021-02-01,4232
AEROMENEGUA,2019-04-01,102
TACA INTERNATIONAL,2017-01-01,26941
ETIHAD,2017-01-11,0
